dates;AD1;AD2;AD3;AC4;AM1;AM2;AD5;AM3;AC2;AC3;AM5;AD6;AD7;AC5;AD8;AO3
15.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.11.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.11.2021;0.02;0.02;0.00836256;0.02;0.02;0.002080479;0.02;0.02;0.02;0.02;0.02;0;0.02;0.02;0.02;0.02
27.11.2021;0.03;0.04;0.010432116;0.06;0.04;0.03;0.04;0.04;0.04;0.03;0.05;0;0.04;0.04;0.05;0.05
28.11.2021;0.122797104;0.13;0.05;0.230428084;0.14;0.09;0.09;0.09;0.130929505;0.05;0.11;0.1;0.15;0.15;0.18;0.15
29.11.2021;0.212637367;0.342752427;0.15;0.294751117;0.24;0.292513734;0.32;0.355693533;0.247963975;0.16;0.41;0.2;0.39;0.5;0.48;0.392312245
30.11.2021;0.403918711;0.443327845;0.228423492;0.463699663;0.535885477;0.39;0.467832325;0.423843204;0.32870974;0.263291662;0.392389045;0.314307929;0.450549075;0.5;0.47;0.456793393
01.12.2021;0.353261385;0.364022048;0.149036768;0.398503897;0.489683296;0.35;0.400668574;0.34250908;0.250866551;0.22919654;0.331482328;0.27396547;0.36570119;0.36;0.37;0.404888031
02.12.2021;0.272454462;0.295109882;0.146586561;0.322719898;0.41;0.3;0.401704417;0.25451039;0.151876423;0.143844037;0.276615686;0.218295036;0.297861374;0.3;0.38;0.41590881
